  t         w[0]         w[1]
0.001      9970.11      9990.04
0.002      9940.44      9980.16
0.003      9910.98      9970.36
0.004      9881.73      9960.63
0.005       9852.7      9950.98
0.006      9823.87      9941.41
0.007      9795.26      9931.92
0.008      9766.84       9922.5
0.009      9738.63      9913.15
0.01      9710.61      9903.88
0.011      9682.79      9894.68
0.012      9655.17      9885.55
0.013      9627.74       9876.5
0.014      9600.51      9867.52
0.015      9573.46       9858.6
0.016       9546.6      9849.76
0.017      9519.92      9840.99
0.018      9493.43      9832.28
0.019      9467.12      9823.64
0.02      9440.99      9815.07
0.021      9415.04      9806.57
0.022      9389.26      9798.13
0.023      9363.66      9789.76
0.024      9338.23      9781.46
0.025      9312.97      9773.22
0.026      9287.88      9765.04
0.027      9262.96      9756.93
0.028       9238.2      9748.88
0.029       9213.6      9740.89
0.03      9189.17      9732.96
0.031       9164.9       9725.1
0.032      9140.79       9717.3
0.033      9116.84      9709.55
0.034      9093.04      9701.87
0.035      9069.39      9694.25
0.036       9045.9      9686.68
0.037      9022.56      9679.18
0.038      8999.38      9671.73
0.039      8976.33      9664.34
0.04      8953.44      9657.01
0.041      8930.69      9649.73
0.042      8908.09      9642.51
0.043      8885.63      9635.35
0.044      8863.31      9628.24
0.045      8841.13      9621.18
0.046      8819.09      9614.19
0.047      8797.18      9607.24
0.048      8775.42      9600.35
0.049      8753.78      9593.51
0.05      8732.29      9586.72
0.051      8710.92      9579.99
0.052      8689.68      9573.31
0.053      8668.58      9566.68
0.054       8647.6       9560.1
0.055      8626.75      9553.57
0.056      8606.03      9547.09
0.057      8585.43      9540.66
0.058      8564.96      9534.28
0.059      8544.61      9527.96
0.06      8524.38      9521.67
0.061      8504.27      9515.44
0.062      8484.28      9509.26
0.063      8464.41      9503.12
0.064      8444.66      9497.03
0.065      8425.02      9490.99
0.066       8405.5         9485
0.067      8386.09      9479.05
0.068       8366.8      9473.15
0.069      8347.62      9467.29
0.07      8328.55      9461.48
0.071      8309.59      9455.71
0.072      8290.73      9449.99
0.073      8271.99      9444.31
0.074      8253.36      9438.68
0.075      8234.83      9433.09
0.076       8216.4      9427.54
0.077      8198.08      9422.04
0.078      8179.87      9416.58
