Newton's Method:
Iter  | x                      | f(x)                      | Abs Error                  | Rel Error                
--------------------------------------------------------------------------------------------------------------------
0     | 1.500000000000000000   | -1.37500000000000000000   | 3.39286755214160960000e-01 | 1.84466480961885400000e-01
1     | 2.000000000000000000   | 1.00000000000000000000    | 1.60713244785839040000e-01 | 8.73780253841528200000e-02
2     | 1.857142857142857200   | 0.09912536443148712000    | 1.78561019286962440000e-02 | 9.70816642814194300000e-03
3     | 1.839544513457557000   | 0.00141032896516613000    | 2.57758243396022400000e-04 | 1.40140324865227330000e-04
4     | 1.839286810068019300   | 0.00000030007002527199    | 5.48538583444724300000e-08 | 2.98234400856572300000e-08
5     | 1.839286755214163600   | 0.00000000000001376677    | 2.66453525910037570000e-15 | 1.44867854430350940000e-15

Bisection Method:
Iter  | x                      | f(x)                      | Abs Error                  | Rel Error                
--------------------------------------------------------------------------------------------------------------------
0     | 1.500000000000000000   | -1.37500000000000000000   | 3.39286755214160960000e-01 | 1.84466480961885400000e-01
1     | 1.750000000000000000   | -0.45312500000000000000   | 8.92867552141609600000e-02 | 4.85442277888662800000e-02
2     | 1.875000000000000000   | 0.20117187500000000000    | 3.57132447858390400000e-02 | 1.94168987976432730000e-02
3     | 1.812500000000000000   | -0.14331054687500000000   | 2.67867552141609620000e-02 | 1.45636644956115040000e-02
4     | 1.843750000000000000   | 0.02450561523437500000    | 4.46324478583903800000e-03 | 2.42661715101588450000e-03
5     | 1.828125000000000000   | -0.06049728393554687500   | 1.11617552141609620000e-02 | 6.06852367229781000000e-03
6     | 1.835937500000000000   | -0.01827096939086914000   | 3.34925521416096200000e-03 | 1.82095326064096250000e-03
7     | 1.839843750000000000   | 0.00304836034774780270    | 5.56994785839037800000e-04 | 3.02831945187461000000e-04
8     | 1.837890625000000000   | -0.00762852281332016000   | 1.39613021416096220000e-03 | 7.59060657726750800000e-04
9     | 1.838867187500000000   | -0.00229438859969377500   | 4.19567714160962170000e-04 | 2.28114356269644850000e-04
10    | 1.839355468750000000   | 0.00037590868305414915    | 6.87135358390378300000e-05 | 3.73587944589080900000e-05
11    | 1.839111328125000000   | -0.00095950921240728350   | 1.75427089160962170000e-04 | 9.53777809053683800000e-05
