0.10000000 0.90482368
0.20000000 0.81869567
0.30000000 0.74074914
0.40000000 0.67019599
0.50000000 0.60631696
0.60000000 0.54845103
0.70000000 0.49598332
0.80000000 0.44832982
0.90000000 0.40491645
1.00000000 0.36514865
1.10000000 0.32836448
1.20000000 0.29376079
1.30000000 0.26027412
1.40000000 0.22638722
1.50000000 0.18981226
1.60000000 0.14697098
1.70000000 0.09213944
1.80000000 0.01604011
1.90000000 -0.09647742
2.00000000 -0.27025828
2.10000000 -0.54614108
2.20000000 -0.99133972
2.30000000 -1.71655633
2.40000000 -2.90418969
2.50000000 -4.85483432
2.60000000 -8.06393049
2.70000000 -13.34811627
2.80000000 -22.05351036
2.90000000 -36.39905270
3.00000000 -60.04247945
3.10000000 -99.01329708
3.20000000 -163.25073111
3.30000000 -269.13893840
3.40000000 -443.68614561
3.50000000 -731.41369748
3.60000000 -1205.71222212
3.70000000 -1987.56155945
3.80000000 -3276.38939292
3.90000000 -5400.93977510
4.00000000 -8903.12671269
